region,year,month,rainfall_mm
ARUNACHAL PRADESH,1928,8,8.390357971191406
ARUNACHAL PRADESH,1928,9,8.099535942077637
ARUNACHAL PRADESH,1928,10,5.013296127319336
ARUNACHAL PRADESH,1928,11,6.0264387130737305
ARUNACHAL PRADESH,1928,12,8.154391288757324
ARUNACHAL PRADESH,1929,1,8.12834644317627
ARUNACHAL PRADESH,1929,2,10.170913696289062
ARUNACHAL PRADESH,1929,3,12.498114585876465
ARUNACHAL PRADESH,1929,4,10.983190536499023
ARUNACHAL PRADESH,1929,5,9.199797630310059
ARUNACHAL PRADESH,1929,6,14.868500709533691
ARUNACHAL PRADESH,1929,7,12.876938819885254
ARUNACHAL PRADESH,1929,8,10.212539672851562
ARUNACHAL PRADESH,1929,9,7.012608528137207
ARUNACHAL PRADESH,1929,10,9.679909706115723
ARUNACHAL PRADESH,1929,11,10.916733741760254
ARUNACHAL PRADESH,1929,12,11.102354049682617
ARUNACHAL PRADESH,1930,1,9.081740379333496
ARUNACHAL PRADESH,1930,2,7.89394474029541
ARUNACHAL PRADESH,1930,3,10.228896141052246
ARUNACHAL PRADESH,1930,4,11.58969783782959
ARUNACHAL PRADESH,1930,5,17.28801918029785
ARUNACHAL PRADESH,1930,6,12.459402084350586
ARUNACHAL PRADESH,1930,7,9.812618255615234
ARUNACHAL PRADESH,1930,8,10.559224128723145
ARUNACHAL PRADESH,1930,9,7.7387309074401855
ARUNACHAL PRADESH,1930,10,7.479023456573486
ARUNACHAL PRADESH,1930,11,9.604104995727539
ARUNACHAL PRADESH,1930,12,9.828116416931152
ARUNACHAL PRADESH,1931,1,11.66225528717041
ARUNACHAL PRADESH,1931,2,9.02643871307373
ARUNACHAL PRADESH,1931,3,8.52687931060791
ARUNACHAL PRADESH,1931,4,8.172358512878418
ARUNACHAL PRADESH,1931,5,12.142373085021973
ARUNACHAL PRADESH,1931,6,12.04145622253418
ARUNACHAL PRADESH,1931,7,10.760024070739746
ARUNACHAL PRADESH,1931,8,18.40435791015625
ARUNACHAL PRADESH,1931,9,12.93890380859375
ARUNACHAL PRADESH,1931,10,10.747312545776367
ARUNACHAL PRADESH,1931,11,9.92367172241211
ARUNACHAL PRADESH,1931,12,13.094861030578613
ARUNACHAL PRADESH,1932,1,9.310730934143066
ARUNACHAL PRADESH,1932,2,12.070882797241211
ARUNACHAL PRADESH,1932,3,12.70824909210205
ARUNACHAL PRADESH,1932,4,6.756838321685791
ARUNACHAL PRADESH,1932,5,5.50911808013916
ARUNACHAL PRADESH,1932,6,10.726898193359375
ARUNACHAL PRADESH,1932,7,12.548338890075684
ARUNACHAL PRADESH,1932,8,14.40184497833252
ARUNACHAL PRADESH,1932,9,15.969389915466309
ARUNACHAL PRADESH,1932,10,14.131461143493652
ARUNACHAL PRADESH,1932,11,13.190975189208984
ARUNACHAL PRADESH,1932,12,12.752232551574707
ARUNACHAL PRADESH,1933,1,11.120862007141113
ARUNACHAL PRADESH,1933,2,12.001255989074707
ARUNACHAL PRADESH,1933,3,10.085850715637207
ARUNACHAL PRADESH,1933,4,5.68322229385376
ARUNACHAL PRADESH,1933,5,5.947139739990234
ARUNACHAL PRADESH,1933,6,9.759126663208008
ARUNACHAL PRADESH,1933,7,8.291608810424805
ARUNACHAL PRADESH,1933,8,10.098763465881348
ARUNACHAL PRADESH,1933,9,12.372334480285645
ARUNACHAL PRADESH,1933,10,8.072931289672852
ARUNACHAL PRADESH,1933,11,7.44138240814209
ARUNACHAL PRADESH,1933,12,6.520968914031982
ARUNACHAL PRADESH,1934,1,13.223609924316406
ARUNACHAL PRADESH,1934,2,14.016396522521973
ARUNACHAL PRADESH,1934,3,18.15034294128418
ARUNACHAL PRADESH,1934,4,8.367097854614258
ARUNACHAL PRADESH,1934,5,8.009557723999023
ARUNACHAL PRADESH,1934,6,9.883886337280273
ARUNACHAL PRADESH,1934,7,10.86563491821289
ARUNACHAL PRADESH,1934,8,9.711633682250977
ARUNACHAL PRADESH,1934,9,12.42102336883545
ARUNACHAL PRADESH,1934,10,14.007669448852539
ARUNACHAL PRADESH,1934,11,11.989819526672363
ARUNACHAL PRADESH,1934,12,11.484160423278809
ARUNACHAL PRADESH,1935,1,11.738142967224121
ARUNACHAL PRADESH,1935,2,11.020927429199219
ARUNACHAL PRADESH,1935,3,12.654263496398926
ARUNACHAL PRADESH,1935,4,15.658417701721191
ARUNACHAL PRADESH,1935,5,10.484280586242676
ARUNACHAL PRADESH,1935,6,9.710771560668945
ARUNACHAL PRADESH,1935,7,12.034682273864746
ARUNACHAL PRADESH,1935,8,10.88792610168457
ARUNACHAL PRADESH,1935,9,5.664216041564941
ARUNACHAL PRADESH,1935,10,8.014650344848633
ARUNACHAL PRADESH,1935,11,7.706571102142334
ARUNACHAL PRADESH,1935,12,11.134284019470215
ARUNACHAL PRADESH,1936,1,12.121195793151855
ARUNACHAL PRADESH,1936,2,12.224823951721191
ARUNACHAL PRADESH,1936,3,12.624185562133789
ARUNACHAL PRADESH,1936,4,13.737796783447266
ARUNACHAL PRADESH,1936,5,18.17373275756836
ARUNACHAL PRADESH,1936,6,15.250826835632324
ARUNACHAL PRADESH,1936,7,6.7085161209106445
ARUNACHAL PRADESH,1936,8,6.4339375495910645
ARUNACHAL PRADESH,1936,9,7.182352066040039
ARUNACHAL PRADESH,1936,10,9.542728424072266
ARUNACHAL PRADESH,1936,11,9.855436325073242
ARUNACHAL PRADESH,1936,12,10.117621421813965
ARUNACHAL PRADESH,1937,1,6.537593841552734
ARUNACHAL PRADESH,1937,2,10.338872909545898
ARUNACHAL PRADESH,1937,3,8.964582443237305
ARUNACHAL PRADESH,1937,4,9.382331848144531
ARUNACHAL PRADESH,1937,5,8.076051712036133
ARUNACHAL PRADESH,1937,6,10.363965034484863
ARUNACHAL PRADESH,1937,7,10.644636154174805
ARUNACHAL PRADESH,1937,8,11.52753734588623
ARUNACHAL PRADESH,1937,9,6.731526851654053
ARUNACHAL PRADESH,1937,10,8.86355209350586
ARUNACHAL PRADESH,1937,11,6.926991939544678
ARUNACHAL PRADESH,1937,12,6.081942081451416
ARUNACHAL PRADESH,1938,1,5.1916422843933105
ARUNACHAL PRADESH,1938,2,8.176408767700195
ARUNACHAL PRADESH,1938,3,9.985007286071777
ARUNACHAL PRADESH,1938,4,18.24347496032715
ARUNACHAL PRADESH,1938,5,20.85826301574707
ARUNACHAL PRADESH,1938,6,17.091096878051758
ARUNACHAL PRADESH,1938,7,14.269362449645996
ARUNACHAL PRADESH,1938,8,16.33255958557129
